freq_a,freq_b,gap,omega_a,omega_b,method,mean_rel_err
0,38,38,2,40,identity,13.649345
0,38,38,2,40,real_scalar,0.99992937
0,38,38,2,40,complex_scalar,0.99911974
0,38,38,2,40,diag_complex,1.0001274
0,39,39,2,41,identity,13.907934
0,39,39,2,41,real_scalar,0.99994799
0,39,39,2,41,complex_scalar,0.99917501
0,39,39,2,41,diag_complex,1.0007355
0,40,40,2,42,identity,14.459921
0,40,40,2,42,real_scalar,0.99994463
0,40,40,2,42,complex_scalar,0.99916239
0,40,40,2,42,diag_complex,1.0009315
0,41,41,2,43,identity,14.984874
0,41,41,2,43,real_scalar,0.99993785
0,41,41,2,43,complex_scalar,0.99920118
0,41,41,2,43,diag_complex,1.0010124
0,42,42,2,44,identity,15.181249
0,42,42,2,44,real_scalar,0.99995283
0,42,42,2,44,complex_scalar,0.99930196
0,42,42,2,44,diag_complex,1.0009586
0,43,43,2,45,identity,15.666049
0,43,43,2,45,real_scalar,0.99997928
0,43,43,2,45,complex_scalar,0.99934708
0,43,43,2,45,diag_complex,1.0008809
0,44,44,2,46,identity,16.171564
0,44,44,2,46,real_scalar,1.0000013
0,44,44,2,46,complex_scalar,0.99936228
0,44,44,2,46,diag_complex,1.0006664
0,45,45,2,47,identity,16.300889
0,45,45,2,47,real_scalar,1.0000106
0,45,45,2,47,complex_scalar,0.99937174
0,45,45,2,47,diag_complex,1.0004156
0,46,46,2,48,identity,16.709342
0,46,46,2,48,real_scalar,1.0000071
0,46,46,2,48,complex_scalar,0.99932553
0,46,46,2,48,diag_complex,0.99999824
0,47,47,2,49,identity,17.16143
0,47,47,2,49,real_scalar,0.99999965
0,47,47,2,49,complex_scalar,0.99926288
0,47,47,2,49,diag_complex,0.99941411
0,48,48,2,50,identity,17.247592
0,48,48,2,50,real_scalar,0.99998673
0,48,48,2,50,complex_scalar,0.99920238
0,48,48,2,50,diag_complex,0.9990086
0,49,49,2,51,identity,17.405082
0,49,49,2,51,real_scalar,0.99996584
0,49,49,2,51,complex_scalar,0.99915512
0,49,49,2,51,diag_complex,0.99914543
0,50,50,2,52,identity,17.582163
0,50,50,2,52,real_scalar,0.99993158
0,50,50,2,52,complex_scalar,0.99914605
0,50,50,2,52,diag_complex,0.99936093
1,2,1,3,4,identity,0.47164179
1,2,1,3,4,real_scalar,0.36543486
1,2,1,3,4,complex_scalar,0.22414676
1,2,1,3,4,diag_complex,0.16610231
1,3,2,3,5,identity,0.96375333
1,3,2,3,5,real_scalar,0.65426921
1,3,2,3,5,complex_scalar,0.4018271
1,3,2,3,5,diag_complex,0.3147264
1,4,3,3,6,identity,1.4316587
1,4,3,3,6,real_scalar,0.84920191
1,4,3,3,6,complex_scalar,0.55654905
1,4,3,3,6,diag_complex,0.45800781
1,5,4,3,7,identity,1.8439715
1,5,4,3,7,real_scalar,0.96094912
1,5,4,3,7,complex_scalar,0.70307498
1,5,4,3,7,diag_complex,0.59906484
1,6,5,3,8,identity,2.2172532
1,6,5,3,8,real_scalar,0.99737771
1,6,5,3,8,complex_scalar,0.82174905
1,6,5,3,8,diag_complex,0.71308339
1,7,6,3,9,identity,2.5385508
1,7,6,3,9,real_scalar,1.0007621
1,7,6,3,9,complex_scalar,0.89216938
1,7,6,3,9,diag_complex,0.78674497
1,8,7,3,10,identity,2.7330584
1,8,7,3,10,real_scalar,0.99914816
1,8,7,3,10,complex_scalar,0.93259145
1,8,7,3,10,diag_complex,0.83963352
1,9,8,3,11,identity,2.8423218
1,9,8,3,11,real_scalar,0.99808893
1,9,8,3,11,complex_scalar,0.96219941
1,9,8,3,11,diag_complex,0.88468763
1,10,9,3,12,identity,3.0679128
1,10,9,3,12,real_scalar,0.9996486
1,10,9,3,12,complex_scalar,0.97828444
1,10,9,3,12,diag_complex,0.91678614
1,11,10,3,13,identity,3.2927319
1,11,10,3,13,real_scalar,1.0003598
1,11,10,3,13,complex_scalar,0.98057689
1,11,10,3,13,diag_complex,0.93532088
1,12,11,3,14,identity,3.3520446
1,12,11,3,14,real_scalar,0.99977278
1,12,11,3,14,complex_scalar,0.9790602
1,12,11,3,14,diag_complex,0.94461933
1,13,12,3,15,identity,3.5158898
1,13,12,3,15,real_scalar,0.99794923
1,13,12,3,15,complex_scalar,0.98155247
1,13,12,3,15,diag_complex,0.94672682
1,14,13,3,16,identity,3.8540081
1,14,13,3,16,real_scalar,0.99777821
1,14,13,3,16,complex_scalar,0.98695515
1,14,13,3,16,diag_complex,0.94997897
1,15,14,3,17,identity,4.0215867
1,15,14,3,17,real_scalar,0.99845243
1,15,14,3,17,complex_scalar,0.98970318
1,15,14,3,17,diag_complex,0.9581978
1,16,15,3,18,identity,4.0345011
1,16,15,3,18,real_scalar,0.9982371
1,16,15,3,18,complex_scalar,0.99176755
1,16,15,3,18,diag_complex,0.96535721
1,17,16,3,19,identity,4.3093831
1,17,16,3,19,real_scalar,0.99853546
1,17,16,3,19,complex_scalar,0.99417924
1,17,16,3,19,diag_complex,0.97157633
1,18,17,3,20,identity,4.6162804
1,18,17,3,20,real_scalar,0.99921207
1,18,17,3,20,complex_scalar,0.99524553
1,18,17,3,20,diag_complex,0.97666517
1,19,18,3,21,identity,4.6864721
1,19,18,3,21,real_scalar,0.99937578
1,19,18,3,21,complex_scalar,0.9950804
1,19,18,3,21,diag_complex,0.98009456
1,20,19,3,22,identity,4.9138204
1,20,19,3,22,real_scalar,0.99881312
1,20,19,3,22,complex_scalar,0.99507677
1,20,19,3,22,diag_complex,0.98250242
1,21,20,3,23,identity,5.3267829
1,21,20,3,23,real_scalar,0.99884006
1,21,20,3,23,complex_scalar,0.99609498
1,21,20,3,23,diag_complex,0.98561162
1,22,21,3,24,identity,5.5317438
1,22,21,3,24,real_scalar,0.99913302
1,22,21,3,24,complex_scalar,0.99673432
1,22,21,3,24,diag_complex,0.98758331
1,23,22,3,25,identity,5.6542625
1,23,22,3,25,real_scalar,0.99910166
1,23,22,3,25,complex_scalar,0.99707048
1,23,22,3,25,diag_complex,0.98820278
1,24,23,3,26,identity,6.0761251
1,24,23,3,26,real_scalar,0.99916479
1,24,23,3,26,complex_scalar,0.99774872
1,24,23,3,26,diag_complex,0.98859786
1,25,24,3,27,identity,6.4236213
1,25,24,3,27,real_scalar,0.99951565
1,25,24,3,27,complex_scalar,0.99849809
1,25,24,3,27,diag_complex,0.98958878
1,26,25,3,28,identity,6.5016262
1,26,25,3,28,real_scalar,0.99985584
1,26,25,3,28,complex_scalar,0.99879976
1,26,25,3,28,diag_complex,0.99095676
1,27,26,3,29,identity,6.8687757
1,27,26,3,29,real_scalar,0.99994939
1,27,26,3,29,complex_scalar,0.99852924
1,27,26,3,29,diag_complex,0.99098703
1,28,27,3,30,identity,7.2497922
1,28,27,3,30,real_scalar,0.9999504
1,28,27,3,30,complex_scalar,0.99842495
1,28,27,3,30,diag_complex,0.99109414
1,29,28,3,31,identity,7.3407318
1,29,28,3,31,real_scalar,0.99994707
1,29,28,3,31,complex_scalar,0.99843763
1,29,28,3,31,diag_complex,0.99193469
1,30,29,3,32,identity,7.6124856
1,30,29,3,32,real_scalar,0.99989952
1,30,29,3,32,complex_scalar,0.99838514
1,30,29,3,32,diag_complex,0.99357377
1,31,30,3,33,identity,8.0457403
1,31,30,3,33,real_scalar,0.99986467
1,31,30,3,33,complex_scalar,0.99844393
1,31,30,3,33,diag_complex,0.99505527
1,32,31,3,34,identity,8.2691234
1,32,31,3,34,real_scalar,0.99988353
1,32,31,3,34,complex_scalar,0.99860806
1,32,31,3,34,diag_complex,0.99538828
1,33,32,3,35,identity,8.4501469
1,33,32,3,35,real_scalar,0.99989574
1,33,32,3,35,complex_scalar,0.99860409
1,33,32,3,35,diag_complex,0.99571866
1,34,33,3,36,identity,8.8852798
1,34,33,3,36,real_scalar,0.99986339
1,34,33,3,36,complex_scalar,0.99853552
1,34,33,3,36,diag_complex,0.9962682
1,35,34,3,37,identity,9.0926657
1,35,34,3,37,real_scalar,0.99986674
1,35,34,3,37,complex_scalar,0.9986332
1,35,34,3,37,diag_complex,0.99690247
1,36,35,3,38,identity,9.1845332
1,36,35,3,38,real_scalar,0.99987351
1,36,35,3,38,complex_scalar,0.99872464
1,36,35,3,38,diag_complex,0.99760878
1,37,36,3,39,identity,9.5728506
1,37,36,3,39,real_scalar,0.99986509
1,37,36,3,39,complex_scalar,0.9987605
1,37,36,3,39,diag_complex,0.99845296
1,38,37,3,40,identity,9.8602108
1,38,37,3,40,real_scalar,0.99987868
1,38,37,3,40,complex_scalar,0.99885196
1,38,37,3,40,diag_complex,0.99930808
1,39,38,3,41,identity,10.044564
1,39,38,3,41,real_scalar,0.99990633
1,39,38,3,41,complex_scalar,0.99892691
1,39,38,3,41,diag_complex,0.99981062
1,40,39,3,42,identity,10.43942
1,40,39,3,42,real_scalar,0.99990242
1,40,39,3,42,complex_scalar,0.9989089
1,40,39,3,42,diag_complex,0.99981049
1,41,40,3,43,identity,10.815922
1,41,40,3,43,real_scalar,0.99988731
1,41,40,3,43,complex_scalar,0.99894647
1,41,40,3,43,diag_complex,0.9997456
1,42,41,3,44,identity,10.955233
1,42,41,3,44,real_scalar,0.99990228
1,42,41,3,44,complex_scalar,0.99907883
1,42,41,3,44,diag_complex,0.99975391
1,43,42,3,45,identity,11.300205
1,43,42,3,45,real_scalar,0.99993732
1,43,42,3,45,complex_scalar,0.99916194
1,43,42,3,45,diag_complex,0.9999534
1,44,43,3,46,identity,11.659394
1,44,43,3,46,real_scalar,0.99997329
1,44,43,3,46,complex_scalar,0.99921115
1,44,43,3,46,diag_complex,1.0000435
1,45,44,3,47,identity,11.749388
1,45,44,3,47,real_scalar,0.99999662
1,45,44,3,47,complex_scalar,0.99924417
1,45,44,3,47,diag_complex,1.0000377
1,46,45,3,48,identity,12.041591
1,46,45,3,48,real_scalar,0.99999953
1,46,45,3,48,complex_scalar,0.99920726
1,46,45,3,48,diag_complex,0.99975462
1,47,46,3,49,identity,12.367626
1,47,46,3,49,real_scalar,0.99999761
1,47,46,3,49,complex_scalar,0.99915281
1,47,46,3,49,diag_complex,0.99925604
1,48,47,3,50,identity,12.431348
1,48,47,3,50,real_scalar,0.99998789
1,48,47,3,50,complex_scalar,0.99908241
1,48,47,3,50,diag_complex,0.99887559
1,49,48,3,51,identity,12.545415
1,49,48,3,51,real_scalar,0.99996408
1,49,48,3,51,complex_scalar,0.99899688
1,49,48,3,51,diag_complex,0.99894363
1,50,49,3,52,identity,12.672779
1,50,49,3,52,real_scalar,0.99992431
1,50,49,3,52,complex_scalar,0.99895951
1,50,49,3,52,diag_complex,0.99906528
2,3,1,4,5,identity,0.43891537
2,3,1,4,5,real_scalar,0.35706696
2,3,1,4,5,complex_scalar,0.1998254
2,3,1,4,5,diag_complex,0.16036864
2,4,2,4,6,identity,0.88533954
2,4,2,4,6,real_scalar,0.64783435
2,4,2,4,6,complex_scalar,0.39015427
2,4,2,4,6,diag_complex,0.32217848
2,5,3,4,7,identity,1.3107816
2,5,3,4,7,real_scalar,0.85839034
2,5,3,4,7,complex_scalar,0.57668164
2,5,3,4,7,diag_complex,0.4857664
2,6,4,4,8,identity,1.7065466
2,6,4,4,8,real_scalar,0.96483627
2,6,4,4,8,complex_scalar,0.73084709
2,6,4,4,8,diag_complex,0.62456745
2,7,5,4,9,identity,2.0329891
2,7,5,4,9,real_scalar,0.99480924
2,7,5,4,9,complex_scalar,0.82768599
2,7,5,4,9,diag_complex,0.72150314
2,8,6,4,10,identity,2.2380291
2,8,6,4,10,real_scalar,1.0003895
2,8,6,4,10,complex_scalar,0.88689691
2,8,6,4,10,diag_complex,0.79398484
2,9,7,4,11,identity,2.3742851
2,9,7,4,11,real_scalar,0.99932779
2,9,7,4,11,complex_scalar,0.93253261
2,9,7,4,11,diag_complex,0.85507803
2,10,8,4,12,identity,2.5797624
2,10,8,4,12,real_scalar,0.99924652
2,10,8,4,12,complex_scalar,0.96334197
2,10,8,4,12,diag_complex,0.90011504
2,11,9,4,13,identity,2.7522817
2,11,9,4,13,real_scalar,1.0004954
2,11,9,4,13,complex_scalar,0.97438853
2,11,9,4,13,diag_complex,0.9281219
2,12,10,4,14,identity,2.7875979
2,12,10,4,14,real_scalar,1.0001626
2,12,10,4,14,complex_scalar,0.9760361
2,12,10,4,14,diag_complex,0.94392424
2,13,11,4,15,identity,2.916362
2,13,11,4,15,real_scalar,0.99890432
2,13,11,4,15,complex_scalar,0.97855215
2,13,11,4,15,diag_complex,0.9495118
2,14,12,4,16,identity,3.188804
2,14,12,4,16,real_scalar,0.99860383
2,14,12,4,16,complex_scalar,0.98378236
2,14,12,4,16,diag_complex,0.95201134
2,15,13,4,17,identity,3.3207295
2,15,13,4,17,real_scalar,0.99911672
2,15,13,4,17,complex_scalar,0.9866975
2,15,13,4,17,diag_complex,0.95756882
2,16,14,4,18,identity,3.3382963
2,16,14,4,18,real_scalar,0.9985282
2,16,14,4,18,complex_scalar,0.98833685
2,16,14,4,18,diag_complex,0.96295522
2,17,15,4,19,identity,3.5680926
2,17,15,4,19,real_scalar,0.9982225
2,17,15,4,19,complex_scalar,0.99139094
2,17,15,4,19,diag_complex,0.96918056
2,18,16,4,20,identity,3.8119589
2,18,16,4,20,real_scalar,0.9989506
2,18,16,4,20,complex_scalar,0.99354308
2,18,16,4,20,diag_complex,0.97548583
2,19,17,4,21,identity,3.8634278
2,19,17,4,21,real_scalar,0.99930037
2,19,17,4,21,complex_scalar,0.99403428
2,19,17,4,21,diag_complex,0.97997339
2,20,18,4,22,identity,4.0474347
2,20,18,4,22,real_scalar,0.99883393
2,20,18,4,22,complex_scalar,0.99403833
2,20,18,4,22,diag_complex,0.98245853
2,21,19,4,23,identity,4.383337
2,21,19,4,23,real_scalar,0.99880107
2,21,19,4,23,complex_scalar,0.99520826
2,21,19,4,23,diag_complex,0.98558394
2,22,20,4,24,identity,4.5468548
2,22,20,4,24,real_scalar,0.99921002
2,22,20,4,24,complex_scalar,0.99614326
2,22,20,4,24,diag_complex,0.98785157
2,23,21,4,25,identity,4.6451524
2,23,21,4,25,real_scalar,0.99921407
2,23,21,4,25,complex_scalar,0.99634221
2,23,21,4,25,diag_complex,0.98827507
2,24,22,4,26,identity,4.9879127
2,24,22,4,26,real_scalar,0.99912181
2,24,22,4,26,complex_scalar,0.99683913
2,24,22,4,26,diag_complex,0.98832334
2,25,23,4,27,identity,5.2693358
2,25,23,4,27,real_scalar,0.99937138
2,25,23,4,27,complex_scalar,0.99768793
2,25,23,4,27,diag_complex,0.98906858
2,26,24,4,28,identity,5.3309727
2,26,24,4,28,real_scalar,0.9997061
2,26,24,4,28,complex_scalar,0.99826777
2,26,24,4,28,diag_complex,0.9904265
2,27,25,4,29,identity,5.6256199
2,27,25,4,29,real_scalar,0.99982901
2,27,25,4,29,complex_scalar,0.99817387
2,27,25,4,29,diag_complex,0.99083342
2,28,26,4,30,identity,5.9334015
2,28,26,4,30,real_scalar,0.99987327
2,28,26,4,30,complex_scalar,0.99820323
2,28,26,4,30,diag_complex,0.99123358
2,29,27,4,31,identity,6.0052712
2,29,27,4,31,real_scalar,0.99994405
2,29,27,4,31,complex_scalar,0.99836004
2,29,27,4,31,diag_complex,0.99214871
2,30,28,4,32,identity,6.2222185
2,30,28,4,32,real_scalar,0.99996528
2,30,28,4,32,complex_scalar,0.99828833
2,30,28,4,32,diag_complex,0.99373382
2,31,29,4,33,identity,6.573141
2,31,29,4,33,real_scalar,0.99994763
2,31,29,4,33,complex_scalar,0.99825753
2,31,29,4,33,diag_complex,0.99530755
